MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal,Bedrooms,Bathrooms,SquareFeet,YearBuilt,Floors,Garage,Pool,Location,Price
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,4.526,2,1,1446,1995,2,1,1,Urban,32248315
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,2,1,1233,1974,2,0,0,Urban,26614742
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,2,1,1722,2006,1,0,1,Urban,31688314
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,2,1,1315,2005,2,1,0,Urban,26528559
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,2,1,1232,2005,1,0,0,Urban,21524207
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,2,1,928,2000,2,1,0,Urban,20859356
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,2.992,2,1,1144,1998,2,1,0,Urban,23531855
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,2,1,1036,2003,1,0,0,Urban,20017075
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,2,1,811,1990,1,1,0,Urban,16818357
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,2,1,1048,2001,3,1,0,Urban,22425025
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,2.815,2,1,1049,1997,2,1,1,Urban,23127931
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,2,1,907,2006,2,0,1,Urban,22096144
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,2,1,1088,2002,2,1,0,Urban,21513012
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,2,1,608,2003,3,0,1,Urban,17236872
